answer_id,root_comment
4896356625288203,0
4896353522556121,1
4896324924740764,4
4896301500597224,1
4896297159755459,0
4896287373134293,3
4896286292050727,16
4896252396834518,0
4896248522083041,0
4896247770517021,0
4896247766584433,2
4896234298410668,1
4896206704870003,0
4896172218516342,7
4896149209874626,7
4896088693670190,0
4896073753821676,5
4896060365865030,1
4896049351099246,0
4896028962065369,0
4896002853045501,2
4896002438337674,15
4895998638298684,13
4895990601228986,0
4895989443337466,5
4895988663455432,2
4895988001803494,0
4895982363346397,0
4895946255111943,0
4895944988688947,0
4895924058587324,11
4895894971880327,1
4895881566098577,0
4895879272599448,1
4895869613114802,1
4895811719400505,0
4895763622529898,0
4895753775088366,0
4895705582010843,1
4895661675251765,1
4895658114550555,1
4895654935792380,0
4895651957576620,0
4895646119368136,2
4895645255078629,0
4895640154539580,2
4895631557269653,0
4895617984500065,0
4895583670638152,2
4895568960422911,0
4895557342986638,0
4895514124354494,0
4895501500288959,1
4895500216568750,28
4895453047425738,0
4895447548694239,0
4895436911413312,4
4895418230771737,1
4895349006664214,2
4895341835190427,2
4895321769115808,1
4895310763525644,1
4895289268241802,0
4895274281208723,122
4895271965693105,0
4895253645235288,2
4895251565386689,0
4895249824483806,0
4895249614769988,0
4895245844876680,1
4895229633105578,0
4895228660030298,1
4895214554579359,0
4895210293168471,13
4895182518751792,0
4895182409700753,1
4895174234472854,1
4895172871854643,0
4895169042449067,1
4895155926075454,0
4895150038322006,3
4895138906113002,0
4895133608444501,0
4895128056237243,0
4895127812703696,0
4895126520859988,0
4895126193703695,1
4895120644115418,0
4895101975271317,231
4895088440247088,1
4895088352167186,3
4895087265580913,1
4895083117153492,4
4895078797279536,0
4895072556155276,0
4895071768677397,1
4895067431767284,0
4895061370998519,8
4895053228806758,0
4894977304297506,0
4894941366715525,0
4894939454375140,0
4894937601280902,0
4894928544993555,0
4894900665975480,0
4894896794373644,1
4894893892436509,1
4894887915555943,0
4894847460971906,0
4894846650680330,0
4894839915156469,1
4894825835403739,15
4894818944160015,0
4894818247115128,0
4894806322447327,0
4894805915602370,0
4894798269648813,1
4894797612188792,0
4894794691904708,0
4894793724068050,0
4894759987974949,3
4894756720608109,3
4894745841374499,0
4894743643031942,0
4894742817539912,0
4894712697196493,0
4894701063506983,0
4894658473231205,0
4894644628095749,0
4894634868474086,1
4894597404951035,0
4894583505552638,0
4894567801033883,0
4894565926700130,1
4894562039107805,2
4894561091194184,0
4894543856802490,1
4894541474436735,1
4894531234827622,0
4894526751113602,1
4894517659179484,1
4894514340958901,0
4894500595696261,0
4894491934461087,2
4894479931151150,0
4894478324730175,2
4894466760245625,15
4894448381067507,0
4894419596085848,0
4894409970160624,1
4894404051993365,0
4894401640011023,0
4894394493174178,3
4894389090391629,1
4894385982933307,0
4894383000518774,5
4894352473850459,0
4894329627214802,0
4894324724863103,3
4894308660937929,0
4894233712657695,0
4894221489930562,0
4894211919056213,0
4894174580838213,0
4894152715666242,0
4894131787139262,8
4894129873748283,11
4894122051899902,0
4894121409906884,0
4894120693209000,87
4894117639490133,5
4894114405680318,0
4894109926424961,0
4894088521843071,1
4894082344686302,3
4894077252015031,0
4894070607974091,1
4894057598026733,0
4894056579075012,1
4894052425926885,0
4894050886616356,0
4894044008483952,1
4894031778158556,0
4894031714457829,0
4894024715207377,3
4894000508831589,0
4893996910641584,0
4893994007663927,1
4893966140702766,0
4893964308843118,1
4893951930403432,0
4893861618647175,0
4893842418175945,0
4893811702501893,0
4893811051861866,0
4893809487646725,0
4893808552053330,1
4893806870926136,4
4893818836747459,0
4893814751235922,0
4893787825116092,0
4893784259953597,0
4893778525294292,0
4893755918779240,0
4893753094967132,0
4893747923652865,3
4893739741612662,2
4893737018986386,2
4893728408338742,1
4893725220410731,2
4893723282118456,0
4893714700568401,0
4893714424532003,15
4893714109695809,3
4893710728300522,0
4893707772364204,1
4893707596468667,3
4893703955285456,0
4893701811997088,0
4893694111778427,1
4893693591162731,1
4893686809493884,0
4893680944808772,0
4893679317682032,5
4893673010234168,1
4893669482825513,0
4893669326592408,6
4893666429374211,1
4893654521217350,0
4893639623311626,0
4893614104118068,0
4893613026972323,0
4893608459110586,0
4893582295040100,11
4893551731146990,0
4893503526537129,5
4893494772763469,24
4893492021824327,0
4893483452071976,0
4893482483450503,0
4893477412017713,0
4893460564017326,0
4893459238885299,5
4893457036092986,2
4893454041093627,3
4893452938515096,0
4893450191504020,1
4893449474284074,2
4893447955941283,0
4893446361843288,0
4893436425540510,0
4893436115687374,0
4893435473695956,0
4893435162788377,3
4893428024610521,0
4893427566910350,0
4893425780918063,1
4893423750614542,0
4893419459844532,0
4893416369163946,6
4893411276236077,0
4893409603750423,0
4893407975574484,1
4893407380243263,0
4893402128457500,0
4893401181063965,0
4893386581216040,0
4893380587030282,0
4893379950021181,0
4893377193052881,0
4893374266741260,1
4893368620417212,64
4893363042521426,0
4893360063774898,0
4893357949847546,3
4893357920489530,0
4893357544047998,2
4893356305421983,0
4893350799086596,0
4893350451483588,2
4893344972412776,0
4893343680828740,0
4893343161780582,0
4893337046483380,0
4893336823141648,1
4893336715135930,0
4893334059092640,0
4893329906734324,0
4893326211812317,0
4893325729466380,50
4893324215587217,0
4893323343696297,0
4893315708750442,2
4893310537173316,1
4893310243835823,0
4893308612774922,5
4893308482231368,0
4893308461255318,0
4893300768902072,6
4893299745752138,0
4893294549537653,0
4893293231997438,0
4893293080480168,0
4893289822293189,0
4893287871677983,7
4893287732745253,0
4893286416519814,0
4893285611208852,29
4893285534928654,0
4893280384321673,7
4893260348917748,0
4893259555668239,0
4893255793640152,0
4893253126062911,0
4893247023875723,0
4893242246300953,0
4893235556649474,2
4893232612509011,2
4893219651322612,1
4893196209881194,5
4893174113763363,0
4893169450484212,0
4893139988907482,0
4893120619085942,0
4893118267129871,0
4893111278371281,3
4893107974045774,0
4893100189420937,1
4893060565571976,1
4893047416947659,2
4893046929626198,27
4893033495268107,1
4893030945131184,8
4893022208918627,1
4893019825771375,0
4893011060982390,0
4893005607340549,0
4892995671297511,13
4892993151304752,0
4892974000112100,0
4892961499780494,0
4892959139172661,0
4892954831099179,9
4892952197334256,0
4892950590392567,0
4892946141024066,1
4892944878016307,0
4892942764084284,0
4892933217589307,0
4892929690962695,0
4892926368289930,0
4892921805144535,5
4892907112237680,0
4892903388480224,2
4892901366042580,0
4892900200547376,0
4892871150797153,1
4892865757448119,5
4892814268170336,0
4892810454499582,0
4892795427619045,0
4892786069078248,0
4892779459118283,7
4892779198809156,0
4892776926281830,0
4892772442834007,0
4892763219035031,0
4892761918016006,1
4892748810817309,0
4892747628023806,0
4892740850552118,2
4892738002360340,0
4892729350297737,13
4892724643761227,1
4892714158528549,14
4892696031008716,0
4892667575801663,0
4892658617552332,1
4892625074656433,0
4892615764607019,0
4892607676678287,1
4892605203354498,1
4892596943458024,0
4892589892834009,0
4892587351872674,0
4892586319286134,0
4892579126058084,3
4892566157532706,0
4892566036939569,0
4892558919206993,0
4892558788138202,0
4892547892384771,0
4892545983711129,0
4892517495211654,0
4892513866880010,0
4892428756845001,0
4892418815558560,0
4892414009148744,1
4892412177024686,0
4892394607085479,0
4892394342580521,0
4892390445289205,1
4892388349183410,0
4892372993835683,0
4892371495688528,0
4892368837284416,5
4892365066078497,0
4892362507553006,0
4892352927506381,49
4892346040190690,0
4892322556812243,2
4892309596411034,0
4892303691089775,0
4892302605289060,0
4892301706922524,0
4892290001144697,0
4892280957699289,0
4892279444083017,2
4892270560022854,1
4892268920572670,0
4892268060213858,4
4892265367211058,0
4892264331219655,0
4892263374918728,199
4892262507219612,0
4892217455679169,0
4892216886035706,0
4892214440495036,0
4892212440339900,0
4892198124393223,0
4892194056442294,4
4892192977718647,9
4892183146270616,2
4892164385933718,0
4892157079194751,0
4892147121653934,0
4892078800896045,0
4892075226825443,0
4892073939436271,0
4892064297518012,0
4892041101707483,0
4892035788312610,0
4892029124088112,1
4892018323494298,0
4892012979685313,1
4892007161660569,2
4892005321153287,0
4892001222789056,1
4891994902497048,0
4891991966750743,0
4891985225453534,1
4891981530273390,1
4891971871312309,1
4891970977140401,0
4891970281145455,0
4891969845199419,0
4891957300824452,0
4891952967059172,37
4891951268626916,0
4891933954282934,0
4891928892281177,0
4891928753606589,0
4891923058002479,2
4891912983545752,0
4891912098547147,1
4891906268464684,0
4891867294729724,0
4891844963995673,17
4891837968420533,2
4891800869275268,0
4891796573783031,0
4891776794493014,0
4891761170973484,1
4891664026698093,1
4891654856904686,0
4891653456269350,0
4891652227596491,1
4891649224738464,0
4891630975584657,0
4891629884281702,0
4891629775228234,0
4891629708641889,0
4891611593181376,20
4891598527142537,0
4891596547695422,0
4891592207112005,0
4891585042710796,14
4891580370784403,0
4891570060660809,9
4891568534721134,26
4891566621330855,0
4891562662692450,0
4891562309586771,0
4891560787050548,0
4891553140834370,0
4891544987632083,2
4891532668700949,0
4891532400004225,0
4891521842940295,1
4891521075907089,2
4891512884954217,40
4891506039063137,0
4891495847429101,0
4891493389305917,0
4891492302983998,17
4891478435826800,0
4891465299789085,0
4891449705365602,0
4891427202402668,0
4891418378635787,0
4891412237910450,0
4891410085970541,0
4891408156331411,0
4891404096241886,88
4891333090871139,0
4891324995602951,0
4891295770744093,1
4891293551690025,0
4891292330363821,0
4891291881572479,0
4891290322342561,0
4891277658951640,0
4891274203367216,35
4891273737276145,34
4891271737378605,0
4891266892959116,6
4891266037061729,2
4891265356794549,0
4891264140708103,45
4891231869994562,62
4891209828668037,9
4891205324507263,0
4891201969326578,0
4891195156730861,46
4891191370582266,0
4891190136412049,0
4891173997514150,0
4891170084228176,0
4891167353998518,0
4891165734732201,0
4891159333703741,0
4891155940769953,0
4891155643236995,0
4891150610334384,0
4891142015420622,0
4891135779019456,1
4891131777648737,11
4891123581455787,25
4891122653992816,18
4891109644567469,0
4891101771596999,14
4891101243380063,0
4891099975914078,0
4891098432405687,0
4891088143516220,7
4891079407045388,1
4891068421901594,0
4891064295754354,2
4891032778703511,1
4890983516340859,0
4890961610017212,4
4890959885895377,2
4890944979863341,0
4890931406831898,0
4890922452780532,0
4890910078539339,1
4890908808711949,3
4890905179327238,0
4890899597493927,0
4890879171758192,1
4890878077047602,0
4890877677538546,0
4890876171518903,2
4890870165543348,0
4890860867290859,2
4890856421853749,0
4890847546444275,0
4890828893328622,1
4890804025822370,1
4890800393290552,1
4890799063958793,1
4890796337400913,0
4890791836648565,0
4890781623519347,0
4890781401221300,0
4890781057812186,0
4890769104833371,0
4890762707210671,0
4890759080182522,7
4890744069032271,2
4890740331905526,1
4890731904763921,0
4890723164358786,0
4890722812301462,4
4890718528868056,0
4890708748798297,1
4890698300523510,0
4890691258286429,0
4890671108850106,0
4890637125550609,0
4890615697637729,5
4890615668801995,2
4890597405491843,0
